Sound,CC00,CC32,PC
Real El. Gtr ST1,121,28,27
Chorus Guitar,121,3,27
Chorus Gtr Pro,121,18,27
Single Coil,121,6,27
Single Coil Pro,121,14,27
Concert Gtr Pro,121,21,24
Real Nylon Gtr,121,17,24
RealSteel Gtr ST,121,28,25
RealFolk GtrST 2,121,30,25
Steel Gtr RX,121,35,25
Pedal Steel,121,4,26
E.Gtr Amp DNC,121,37,27
New Stra.Guitar,121,7,27
Stra. Vel. Pro,121,16,27
Processed E.Gtr,121,5,27
Solid Guitar,121,21,27
Soft Overdrive,121,2,29
5th Mute Gtr,121,21,28
Dist. Guitar,121,11,30
Disto Mute,121,9,28
Mute Monster,121,5,30
Power Chords 1,121,15,30
Factory/Strings & Vocal,,,
Violin DNC,121,9,40
Real Violin DNC,121,7,40
Violin Expr. DNC,121,5,40
Conc.Violin DNC,121,6,40
Violin Expr. 1,121,4,40
SopranoVox1 DNC,121,4,53
Real Strings 1,121,9,49
Real Strings 2,121,10,49
Movie Str.1 DNC,121,7,49
Movie Str.2 DNC,121,8,49
Strings&Orch.V.,121,24,48
Arabic Strings,121,13,48
Classic Harp,121,2,46
Scat Voices DNC,121,20,52
Cycle Scat 1,121,21,52
Cycle Scat 2,121,22,52
ConcertStrings 1,121,11,49
ConcertStrings 2,121,23,48
Full Strings,121,2,49
i3 Strings,121,5,48
Tremolo Strings,121,1,44
Class.Contrabs,121,1,43
Cello,121,1,42
Viola Expr.,121,1,41
Violin & Viola,121,2,41
Strings Quartet,121,9,48
Chamber Strings,121,12,48
OrchestraTutti 1,121,14,48
Orchestra&Flute,121,20,48
Orch. & Oboe 1,121,16,48
Strings & Horns,121,15,48
Strings & Glock.,121,18,48
Pizz. Ensemble,121,1,45
Pizz. Section,121,2,45
Octave Strings,121,8,48
Symphonic Bows,121,10,48
StrappatoStrings,121,12,49
Spiccato Strings,121,4,49
Analog Strings 1,121,5,50
Synth Strings 1,121,6,50
Scat V.& Bass 1,121,17,52
Scat V.& Bass 2,121,18,52
Wuuh Choir,121,8,52
Oh-Ah Voices,121,9,52
Femal&Male Scat,121,14,52
Little Boy Voice,121,23,52
Take Voices 1,121,4,52
Choir Light,121,12,52
Ooh Choir,121,6,52
Ooh Slow Voice,121,3,52
Ooh Voices,121,2,52
Synth Voices,121,6,54
Full Vox Pad,121,9,91
Vocalesque,121,2,54
Fresh Breath,121,7,91
Vocalscape,121,3,54
Heaven,121,3,91
Airways,121,3,53
Factory/Trumpet & Trbn.,,,
Jazz Trumpet DN1,121,33,56
Jazz Trumpet DN2,121,34,56
Jazz Trb. DN1,121,20,57
Jazz Trb. DN2,121,21,57
Soft Trb. DN1,121,22,57
Soft Trb. DN2,121,23,57
HardTrombone DN1,121,24,57
HardTrombone DN2,121,25,57
Jazz Cornet DN1,121,32,56
Cornet Expr.,121,21,56
Trumpet Expr.1,121,15,56
Trumpet Expr.2,121,4,56
Wah Trumpet,121,2,59
Mute Trumpet,121,5,59
Sweet FlugelHorn,121,12,56
Trombone Expr. 1,121,6,57
Trumpet Overb.,121,2,56
Concert Trumpet,121,19,56
Trombone Vel. 1,121,8,57
Trombone Vel. 2,121,9,57
Dual Trumpets,121,6,56
Alp Trumpet,121,17,56
TrumpetShake Y+,121,18,56
Trumpet Pitch,121,5,56
Alp Tuba,121,6,58
Tuba Gold,121,2,58
Oberkr. Tuba,121,1,58
Factory/Brass,,,
Big Band Brass 1,121,32,61
Big Band Brass 2,121,4,61
Tight Brass 1,121,27,61
Tight Brass 2,121,29,61
French Section,121,2,60
Brass of Power,121,30,61
Sforzato Brass,121,23,61
Horns Swell DNC,121,45,61
Soft Horns 1,121,8,60
Soft Horns 2,121,7,60
Soft Horns 3,121,6,60
Fat Brass,121,13,61
Movie Brass,121,20,61
Dyna Brass 1,121,14,61
Brass Expr.,121,15,61
Tight Brass 3,121,2,61
Horns & Ensemble,121,4,60
Glenn & Friends,121,3,61
Glenn & Boys,121,6,61
Trpts & Trombs,121,34,61
Trpts & Brass,121,7,61
Trpt. & Horns,121,5,60
Brass & Sax,121,16,61
Flute & Muted,121,6,73
Trumpet Ens.,121,9,61
Trombone Ens.,121,10,61
Mute Ensemble 1,121,3,59
Mute Ensemble 2,121,4,59
Synth Brass 1,121,5,62
Electrik Brass,121,4,62
Brass Fall,121,26,61
Brass Impact,121,4,55
Brass Hit,121,25,61
Factory/Sax,,,
Tenor Sax DN1,121,16,66
Tenor Sax DN2,121,17,66
Jazz Sax DN1,121,20,65
Jazz Sax DN2,121,21,65
Tenor Growl DN1,121,18,66
PopAltoSax DN1,121,22,65
Alto Sax DN1,121,23,65
SoftAltoSax DN1,121,24,65
Soprano Sax DN1,121,6,64
Baritone Sax DN1,121,6,67
Jazz Tenor Sax 1,121,9,66
Tenor Sax Noise1,121,1,66
Sweet Soprano 1,121,3,64
Folk Sax,121,5,66
Baritone Sax Pro,121,3,67
Reed of Power,121,11,66
Sax Ensemble,121,2,65
Real Sax Ens.,121,15,65
Cool Sax Ens.,121,11,65
Sax Ens. Legato,121,19,65
Factory/Woodwind,,,
RealClarinet DN1,121,21,71
JazzClarinet DN1,121,22,71
Flute,121,9,73
Jazz Flute Expr.,121,1,73
Oboe 1,121,5,68
Classic Oboe,121,2,68
Cool Oboe,121,3,68
Bassoon,121,1,70
Double Reed,121,1,68
Piccolo,121,3,72
Ocarina,121,1,79
Blown Bottle,121,1,76
Pan Flute DN1,121,5,75
Whistle DN1,121,6,78
Whistle Robin,121,7,78
Whistle Sine,121,1,78
Shakuhachi,121,2,77
Shakuhachi Vel.,121,3,77
Clarinet Pro 1,121,8,71
Clarinet Pro 2,121,9,71
Clar & Sax Ens 1,121,17,71
Clar & Sax Ens 2,121,18,71
Clarinet Ens.,121,5,71
Reeds & Saxes,121,10,71
Small Orchestra,121,1,72
Factory/Synth Pad,,,
Warm Pad,121,15,89
Square Pad,121,15,90
Dark Pad,121,6,89
Analog Pad 1,121,8,89
Symphonic Ens.,121,14,89
Warm Buzz,121,17,89
The Pad,121,4,89
Far Memories,121,14,91
Big Side Attack,121,18,89
Atmoschoir Pad,121,15,91
Dark Anna,121,13,89
Tsunami Wave,121,6,91
Ravelian Pad,121,8,91
Motion Ocean,121,1,96
Moving Bell,121,5,98
Mixed Echoes,121,16,91
Space Trailer,121,1,103
Jurassic Pad,121,3,88
Pisco Pad,121,2,99
Tension Scene,121,8,97
Movie Stack 1,121,4,99
Movie Stack 2,121,5,99
Movie Stack 3,121,6,99
Dronas Pad,121,4,93
S&H Pad DNC,121,10,96
Techno Stab DNC,121,3,93
VCF Modulation,121,3,101
Rhythmical Synth,121,9,99
Krystal Bell,121,3,98
Moon Cycles,121,5,102
Eastern Depths,121,8,99
Wave-Sequence,121,4,96
Pop Synth Pad 1,121,4,91
Pop Synth Pad 2,121,12,91
Cosmic,121,1,93
Aerosonic,121,5,96
My Sequencer,121,6,96
Step Sequencer,121,7,96
Choir-Sequence,121,13,91
Big Panner,121,4,63
Digi Ice Pad,121,2,101
Cinema Pad,121,5,95
OB Pad,121,12,89
Future Pad,121,5,91
Double Sweep,121,9,95
Vintage Sweep,121,7,95
Super Sweep,121,4,90
Wave Sweep,121,5,90
Fresh Air 1,121,2,91
Fresh Air 2,121,11,91
Bell Pad,121,6,98
80’s Pop Synth,121,2,93
Next Analog,121,16,89
Air Clouds,121,1,97
Meditate,121,2,95
Factory/Synth Lead,,,
Next Dance DNC,121,13,87
Lab Synth DNC,121,8,84
Trance Filter,121,16,87
Vintage Monster,121,17,87
Thin PulSeq DNC,121,21,81
Deep Modul. DNC,121,10,84
Summit Pulse,121,13,81
Bros Buzz Y+,121,14,87
Noised Lead DNC,121,20,87
Fast Glide Saw,121,20,81
Fat Synth,121,15,87
Parallel Trance,121,9,84
Dance Syn Perc,121,3,114
Old Portamento,121,3,80
Monster & Dist.,121,18,87
Side Distortion,121,13,84
Revolution,121,12,84
Reverse Pulse,121,14,81
Rave,121,6,97
Rich Lead,121,3,87
MonoSaw Detune,121,17,81
MonoSaw 2 Oct.,121,18,81
MonoSaw 3 Oct.,121,19,81
Power Saw,121,5,81
Bass Phat Saw,121,12,87
Justified,121,11,84
Octo Lead,121,6,81
Dance Lead,121,4,80
Wave Lead,121,5,80
Simple Square,121,14,80
HipHop Lead,121,6,87
Phat Saw Lead,121,8,81
Big Sweep Stab,121,12,90
Noisy Stabb,121,8,90
A Leadload,121,11,87
OB Lead,121,10,87
Big & Raw,121,8,87
Synth Pianoid,121,12,81
Factory/Ethnic,,,
Mandolin DNC,121,40,25
Mandolin UpDw,121,43,25
Mandolin Orch.1,121,41,25
Mandolin Orch.2,121,42,25
Mandolin Trem.,121,11,25
Real Cavaquinho,121,27,24
Cavaquinho 1,121,23,24
Cavaquinho 2,121,24,24
Real Ukulele,121,25,24
Zither,121,9,104
Sitar,121,8,104
Sitar Tambou,121,2,104
Indian Frets,121,4,104
Fiddle,121,1,110
Banjo,121,4,105
Banjo Key Off,121,1,105
Kanoun 1,121,5,107
Kanoun 2,121,2,107
Kanoun Trem. 1,121,6,107
Kanoun Trem. 2,121,3,107
Oud 1,121,5,105
Oud 2,121,2,105
Mandolin Ens. 1,121,26,25
Mandolin Ens. 2,121,27,25
Kanoun Mix,121,4,107
Bouzouki,121,5,104
Nay,121,2,72
Kawala,121,1,75
Klarnet 1,121,11,71
Klarnet 2,121,12,71
Clarinet G,121,2,71
Hichiriki,121,2,111
HighlandBagPipes,121,3,109
Uillean BagPipes,121,2,109
Zurna 1,121,3,111
Zurna 2,121,1,111
Ac. Baglama 1,121,7,107
Ac. Baglama 2,121,8,107
Ac. Baglama Grp.,121,9,107
Gamelan,121,1,112
Jaw Harp,121,3,105
Garbage Mall,121,3,112
Factory/Bass,,,
Real Ac. Bass 1,121,13,32
Acoustic Bass 1,121,14,32
Acous. Bass Pro1,121,3,32
Ac. Jazz Bass,121,9,32
JB Finger BsDN1,121,29,33
JB Finger BsDN2,121,30,33
JB Pick Bs DN1,121,18,34
JB Pick Bs DN2,121,19,34
Finger Bass DN1,121,16,33
Dark Bs&Slap DN1,121,7,36
JB Fing.Slap Bs,121,32,33
JB Slap Bass,121,8,36
Basic Saw Bass,121,18,39
SimplePulse Bass,121,19,39
Euro Bass,121,4,39
30303 Square,121,6,38
Vintage P. Pick,121,12,34
Vintage P. Bass,121,23,33
Vintage P.Round,121,17,33
Vintage P. Flat,121,18,33
Finger E.Bass 1,121,7,33
Finger E.Bass 2,121,4,33
Dark E.Bass 2,121,24,33
5StringsBass RX,121,19,33
Synth Bass 1,121,18,38
Disclosure Bass,121,16,39
Jungle Bass,121,13,38
Jungle Reso.,121,5,39
Fretless Bass 1,121,1,35
Sweet Fretless,121,3,35
MM Fretless B.RX,121,8,35
Woofer Pusher 1,121,9,35
Picked E. Bass 1,121,2,34
Picked Jazz Bass,121,13,34
Super Bass 1,121,2,36
Thumb Bass,121,1,37
Digi Bass 1,121,11,38
Digi Bass 2,121,9,38
30303 Bass,121,5,38
Fancy Bass,121,17,39
Bass & Ride 1,121,6,32
Bass & Ride 2,121,2,32
Chorus Fing.Bass,121,8,33
Stein Bass,121,3,34
Techno Org.Bass,121,6,17
Org. Synth Pulse,121,13,17
Organ Bass,121,10,32
Syn Bass Reso.,121,8,38
Willy FM Bass,121,19,38
Bass&Gtr Double,121,6,34
FingerB.& Guitar,121,14,33
Bass & Guitar,121,4,34
Legacy,,,
Legacy/Piano,,,
Piano Pad 1,121,2,1
Piano Pad 2,121,3,1
G.Piano Stack 2,121,9,2
90’s Piano,121,3,2
2000’s Piano,121,4,2
Chorus Piano,121,5,2
E. Grand Phaser,121,10,2
Saloon Piano,121,4,3
Harpsichord 2,121,6,6
Harpsi 16’,121,5,6
Harpsi Korg,121,4,6
Clav Snap,121,3,7
Sticky Clav,121,4,7
Legacy/E. Piano,,,
Pro Dyno EP,121,5,4
Pro Stage EP,121,6,4
Studio EP,121,7,4
Suit Case88 EP2,121,33,4
Dyno Tine EP 1,121,10,4
Dyno Tine EP 2,121,22,4
Bell E. Piano 1,121,23,4
Bell E. Piano 2,121,24,4
Tine E. Piano 2,121,19,4
EP+Damper 2,121,26,4
Vintage EP,121,4,4
Stereo Dig. EP,121,6,5
Hybrid EP,121,8,5
Phantom Tine,121,10,5
Soft Wurly,121,13,4
Hard Wurly,121,14,4
FM Stack EP,121,16,5
Velo Wurly,121,15,4
White Pad EP,121,13,5
FM Pad EP,121,15,5
Sweeping EP,121,12,5
Classic Dig. EP,121,7,5
Syn Piano X,121,5,5
Road Piano,121,11,2
E. Piano Noise,121,35,4
Wurly Noise,121,42,4
Legacy/Mallet & Bell,,,
Vibraphone 2,121,3,11
Monkey Skuls,121,3,12
Digi Bell,121,4,98
Legacy/Accordion,,,
Sweet Harmonica,121,1,22
Cassotto NorTune,121,14,21
Acc. Clarinet NT,121,20,21
Acc. Piccolo NT,121,22,21
Sweet Musette,121,11,21
Musette 2,121,4,21
Musette Clar.,121,5,21
Detune Accordion,121,15,21
Akordeon,121,2,21
Arabic Accordion,121,10,21
Cassotto,121,9,21
Cassotto 16’ DNC,121,30,21
Cassotto Or.Tune,121,13,21
Master Accordion,121,23,21
Steirisch.Akk.3,121,27,21
Steirisch.Akk.4,121,28,21
Harmonica 1 DNC,121,5,22
Harmonica 2 DNC,121,9,22
Harmonica 3 DNC,121,10,22
Jazz Harm. DNC,121,6,22
Sweet Harm. DNC,121,7,22
Harmonica 1,121,3,22
Harmonica 2,121,4,22
Harmonica 3,121,2,22
Melodica DNC,121,8,22
"Accordion16,8,4’",121,3,23
Acc.Voice Change,121,6,23
Legacy/Organ,,,
Classic Click,121,4,18
Perc. Organ 3,121,10,17
Perc.Short Deca,121,8,18
Rock Organ 2,121,11,18
Jimmy Organ V.,121,10,18
BX3 Rock 1 V.,121,10,16
BX3 Rock 2 V.,121,1,18
BX3 Rock 3 V.,121,5,18
BX3 Rock 4 V.,121,12,18
Dirty B,121,3,18
Killer B,121,2,18
BX3 Short Decay,121,7,17
Super BX Perc.,121,6,18
Gospel Organ 2,121,9,16
Gospel Organ V.,121,13,16
BX3 Gospel V.,121,21,16
Drawbars Organ,121,14,16
Organ Mid V.,121,16,16
Organ Hi V.,121,17,16
Drawbars Slow V.,121,19,16
Drawbars Fast V.,121,18,16
Organ Low+1’V.,121,33,16
Organ HiMix1 V.,121,34,16
Organ HiMix2 V.,121,35,16
Organ 16+51/3 V.,121,36,16
Organ Low V.,121,4,16
Old Wheels,121,3,17
Dark Organ 1,121,7,16
Dark Organ 2,121,5,16
Rotary Organ,121,8,17
M1 Organ,121,5,17
Dirty JazzOrgan,121,7,18
Arabian Organ,121,12,16
Theatre Organ 3,121,24,16
Theatre Organ 4,121,25,16
Tibia,121,26,16
Tibia 16+8+4’,121,27,16
Tibia & Vox,121,28,16
Tibia & Kinura,121,31,16
Tibia Vox Glock,121,32,16
Post Horn Trem.,121,29,16
Legacy/Guitar,,,
Nylon Bossa,121,4,24
Nylon Vel. Harm.,121,10,24
Nylon Guitar,121,15,24
Nylon Gtr Pro1,121,8,24
Nylon Gtr Pro2,121,11,24
Nylon Slide Pro,121,14,24
Natural Nylon,121,19,24
Spanish Guitar,121,6,24
Brazilian Guitar,121,9,24
Real Steel Gtr,121,31,25
Real Folk Gtr,121,32,25
RealFolk GtrST 1,121,29,25
Steel Folk Gtr,121,9,25
Guitar & Strings,121,7,24
Finger Tips,121,8,25
Finger Key Off,121,7,25
Jazz Gtr 2 DNC,121,7,26
Club Jazz Gtr 2,121,3,26
Pop Steel Slide,121,23,25
Reso Guitar,121,12,25
Tel. Midddle,121,26,27
Clean Mute Gtr,121,6,28
Clean Funk,121,8,28
Country Nu,121,11,27
Hackbrett,121,6,25
Tel. Bridge,121,27,27
Guitarish,121,8,27
Stra. Gtr Slide,121,17,27
Stra. Chime,121,5,28
L&R E.Guitar 1,121,9,27
L&R E.Guitar 2,121,10,27
Rhythm E.Guitar,121,7,28
Chorus Gtr DNC,121,34,27
Muted Guitar,121,19,28
E.Gtr Harmonics,121,2,31
Solo Dist.Guitar,121,7,30
Lead Guitar DNC,121,4,29
Dist. Steel Gtr,121,12,30
Joystick Gtr Y-,121,3,30
Nylon Gtr RX1,121,12,24
Nylon Gtr RX2,121,13,24
RealNylon Gtr ST,121,16,24
Ac.Guitar KeyOff,121,5,24
Steel Slide Pro1,121,13,25
Steel Slide Pro2,121,14,25
Steel Guitar 1,121,4,25
Steel Guitar 2,121,20,25
Steel 12 Strings,121,5,25
Concert 12 Str,121,22,24
Steel Gtr DNC,121,44,25
Classic12Str DNC,121,38,25
Classic12Str Pro,121,37,25
Classic12Strings,121,39,25
12 Strings Pro,121,17,25
12 Strings RX,121,18,25
Pop Steel Gtr 1,121,21,25
Pop Steel Gtr 2,121,22,25
Steel Guitar RX1,121,15,25
Steel Guitar RX2,121,16,25
Pop SteelGtr RX1,121,24,25
Pop SteelGtr RX2,121,25,25
Clean Funk RX1,121,10,28
Clean Funk RX3,121,11,28
Funk Stein RX1,121,12,28
Funk Stein RX2,121,13,28
Clean Guitar RX1,121,14,28
Clean Guitar RX2,121,15,28
Clean Guitar RX3,121,16,28
Clean Guitar RX4,121,17,28
Clean Guitar RX5,121,18,28
Clean Guitar RX6,121,20,28
Club Jazz Gtr 1,121,2,26
JazzGtr SlidePro,121,6,26
Vintage S. 1,121,19,27
Vintage S. 2,121,4,27
Clean Jazz 2,121,22,27
R&R Guitar,121,4,28
Real El. Guitar1,121,30,27
Real El. Guitar2,121,31,27
Real El. Gtr ST2,121,29,27
Funky Wah RX,121,12,27
Clean Gtr Pro 1,121,13,27
Clean Gtr Pro 2,121,15,27
Clean Guitar 1,121,20,27
Clean Guitar 2,121,25,27
Dist. Guitar RX1,121,9,30
Dist. Guitar RX2,121,10,30
Dist. Gtr 2 DNC,121,13,30
Power Chords 2,121,4,30
Stra. Gtr 1 DNC,121,32,27
Clean Funk RX2,121,36,27
‘54 E. Guitar,121,24,27
Wet Dist. Guitar,121,6,30
Vox Wah Chick,121,3,120
Legacy/Strings & Vocal,,,
Violin Expr. 2,121,2,40
Violin Expr. 3,121,8,40
Strings Ens. 1,121,21,48
Strings Ens. 2,121,3,49
Strings Ens. 3,121,22,48
Movie Strings 1,121,5,49
Movie Strings 2,121,6,49
OrchestraTutti 2,121,19,48
SopranoChoirDNC,121,6,53
Stereo Strings,121,3,48
Master Pad,121,2,89
N Strings,121,6,48
Arco Strings,121,7,48
Legato Strings,121,4,48
Double Strings,121,3,45
Ensemble & Solo,121,11,48
Analog Strings 2,121,2,50
Sweeper Strings,121,1,49
Synth Strings 2,121,1,51
SopranoVox2 DNC,121,5,53
Take Voices 2,121,5,52
Aah Choir,121,7,52
Femal Scat,121,15,52
Male Scat,121,16,52
Scat Voices,121,19,52
Grand Choir,121,11,52
Cyber Choir,121,2,85
Strings Choir,121,13,52
Slow Choir,121,10,52
Slow Violin,121,3,40
Odissey,121,4,50
Analog Velve,121,3,50
Ether Voices,121,1,85
Dream Voice,121,5,54
Classic Vox,121,4,54
Orch. & Oboe 2,121,17,48
Doolally,121,2,53
Legacy/Trumpet & Trbn.,,,
JazzTrumpet1 DNC,121,24,56
JazzTrumpet2 DNC,121,27,56
JazzTrumpet3 DNC,121,28,56
JazzTrumpet4 DNC,121,30,56
JazzTrumpet5 DNC,121,35,56
Trumpet Expr.DNC,121,26,56
JazzCornet 1 DNC,121,25,56
JazzCornet 2 DNC,121,29,56
Jazz Trb. 1 DNC,121,15,57
Jazz Trb. 2 DNC,121,14,57
Jazz Trb. 3 DNC,121,18,57
Trombone DNC,121,13,57
HardTrombone DNC,121,19,57
Soft Trb. DNC,121,16,57
Cornet Pro 1,121,22,56
Cornet Pro 2,121,23,56
Trb. Expr. DNC,121,17,57
Trombone Expr. 2,121,7,57
Trombone Vel. 3,121,10,57
Mono Trumpet,121,3,56
Trumpet Pro 1,121,10,56
Trumpet Pro 2,121,11,56
Trumpet Pro 3,121,16,56
Trumpet,121,14,56
Cornet Legato,121,31,56
Warm Flugel,121,8,56
Flugel Horn Pro,121,13,56
Flugel Horn,121,7,56
Hard Trombone,121,3,57
Soft Trombone,121,4,57
Pitch Trombone,121,5,57
Trombone Pro Vel,121,11,57
Ob.Tuba&E.Bass 1,121,4,58
Ob.Tuba&E.Bass 2,121,5,58
Concert Trp. Pro,121,20,56
BeBop Cornet,121,9,56
Trombone,121,12,57
Dynabone,121,3,58
Legacy/Brass,,,
Tight Brass 4,121,12,61
Tight Brass Pro,121,28,61
Attack Brass,121,8,61
Big BandShake Y+,121,33,61
Film Brass,121,17,61
Brass Section,121,31,61
Power Brass,121,21,61
Dyna Brass 2,121,22,61
Trumpet Ens1 Y+,121,35,61
Trumpet Ens2 Y+,121,36,61
Trombones,121,11,61
Double Brass,121,24,61
Brass Slow,121,18,61
Sax & Brass,121,5,61
Classic Horns,121,3,60
Fanfare,121,19,61
Synth Brass 2,121,5,63
Brass Pad,121,3,63
MorphAttackBrass,121,37,61
Netherland Hit,121,8,55
Legacy/Sax,,,
Tenor Sax 1 DNC,121,12,66
Tenor Sax 2 DNC,121,13,66
Tenor Sax 3 DNC,121,14,66
Tenor Sax 4 DNC,121,15,66
Jazz Sax 1 DNC,121,13,65
Jazz Sax 2 DNC,121,14,65
Jazz Sax 3 DNC,121,16,65
Soprano Sax DNC,121,5,64
Alto Sax 1 DNC,121,12,65
Alto Sax 2 DNC,121,17,65
SoftLatinSax DNC,121,18,65
Baritone Sax DNC,121,5,67
Jazz Tenor Sax 2,121,10,66
Tenor Sax Noise2,121,6,66
Tenor Sax Expr.1,121,7,66
Tenor Sax Expr.2,121,8,66
Breathy Tenor,121,3,66
Soft Tenor,121,2,66
Tenor Growl,121,4,66
Alto Sax Pro,121,8,65
Alto Sax Expr.,121,9,65
Breathy Alto 1,121,1,65
Breathy Alto 2,121,3,65
Alto Sax Growl,121,4,65
Sweet Alto Sax 1,121,5,65
Sweet Alto Sax 2,121,6,65
Soft Alto Sax,121,7,65
Alto Sax,121,10,65
Sweet Soprano 2,121,4,64
Sweet Soprano 3,121,1,64
Soprano Pro,121,2,64
Baritone Sax,121,4,67
Breathy Baritone,121,2,67
Baritone Growl,121,1,67
Sax Breath & Key,121,2,121
Legacy/Woodwind,,,
RealClarinet DNC,121,14,71
JazzClarinet DNC,121,15,71
Folk Clarinet,121,7,71
Jazz Clarinet,121,1,71
Clarinet 1 DNC,121,13,71
SoloClarinet DNC,121,16,71
Clarinet 2 DNC,121,19,71
Clarinet 3 DNC,121,20,71
Jazz Flute 1 DNC,121,13,73
Jazz Flute 2 DNC,121,14,73
Orch. Flute DNC,121,12,73
Jazz Flute,121,10,73
